revision,layout_sha256,坐便,前距mm,最低mm,目标mm,限制实体,达到最低
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wcB,903.0,600,750,AB_east_0,True
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wcA,1241.0,600,750,bath_AB_end,True
