revision,layout_sha256,门,实体命中,越界样本,停放框
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bathB_entry,{},[],"[4152, 1401.0, 35, 790]"
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bathA_entry,{},[],"[7197.0, 3450, 790, 35]"
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,store_entry,{},[],"[8890, 1851.0, 35, 640]"
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,living_balcony,{},[],"[10690.0, 8556, 1120, 35]"
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,kitchen_balcony,{},[],"[12740.0, 8556, 840, 35]"
