revision,layout_sha256,宽mm,可达,说明
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,620,False,目标区可站立但50mm网格路线受阻；非连续空间不可达证明
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,900,False,起点包络受阻
