revision,layout_sha256,路线,状态,宽mm,可达,说明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,normal4,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,normal4,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,normal4,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,normal4,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,normal4,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,normal6,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,normal6,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,normal6,600,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,normal6,600,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,normal6,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,normal6,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,normal6,620,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,normal6,620,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,normal6,620,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,normal6,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,normal6,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,normal6,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,normal6,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,normal6,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,normal6,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,normal6,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,chairs_pulled,600,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,chairs_pulled,600,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,chairs_pulled,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,chairs_pulled,620,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,chairs_pulled,620,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,chairs_pulled,620,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,chairs_pulled,620,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,chairs_pulled,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,chairs_pulled,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,chairs_pulled,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,chairs_pulled,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,chairs_pulled,900,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,chairs_pulled,900,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,laundry_open,500,False,端点包络受阻
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,laundry_open,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,laundry_open,600,False,50mm网格未找到路线；非连续空间不可达证明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,laundry_open,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,laundry_open,600,False,端点包络受阻
